2016 NFL TV RATINGS,,,,,,,,,,,,,,,,,,,,,,,,
DH = doubleheader; Single = singleheader,,,,,,,,,,,,,,,,,,,,,,,,
Window,Game,Net,Rtg.,+/-,Vwrs.,+/-,Strm.,18-49,Week,,,,,,,,,,,,,,,
MNF,Steelers/Texans,ESPN,8.1,-4%,13.28,0%,7,8.424,13.28,,,,,,,,,,,,,,,
TNF,Chargers/Broncos,"CBS, NFLN",12.3,297%,20.22,312%,8,-24.231,-42.8664,,,,,,,,,,,,,,,
National,Colts/Steelers (89%),CBS,12.2,-20%,20.75,-19%,8,14.64,24.6925,,,,,,,,,,,,,,,
Single,Eagles/Cardinals (44%),FOX,11,18%,18.35,21%,8,9.02,14.4965,,,,,,,,,,,,,,,
SNF,Packers/Saints,NBC,10.9,11%,18.8,11%,8,9.701,16.732,,,,,,,,,,,,,,,
Regional,Regional action,CBS,8.8,-9%,14.14,-9%,8,9.592,15.4126,,,,,,,,,,,,,,,
Special,Lions/Falcons,FOX,5.5,0%,8.53,0%,8,5.5,8.53,,,,,,,,,,,,,,,
MNF,Washington/Cowboys,ESPN,11.4,70%,18.81,75%,8,3.42,4.7025,,,,,,,,,,,,,,,
TNF,Saints/Panthers,NFLN,4.2,8%,6.88,6%,9,3.864,6.4672,,,,,,,,,,,,,,,
National,Broncos/Patriots (92%),CBS,16.8,17%,29.09,21%,9,13.944,22.9811,,,,,,,,,,,,,,,
Single,Cardinals/Cowboys (63%),FOX,13.2,11%,22.27,11%,9,11.748,19.8203,,,,,,,,,,,,,,,
SNF,Ravens/Steelers,NBC,11.1,7%,18.6,9%,9,10.323,16.926,,,,,,,,,,,,,,,
Regional,Regional action,CBS,5.8,-32%,9.26,-33%,9,7.656,12.3158,,,,,,,,,,,,,,,
MNF,Giants/Colts,ESPN,7.8,-23%,12.36,-23%,9,9.594,15.2028,,,,,,,,,,,,,,,
TNF,Browns/Bengals,NFLN,5.2,30%,8.31,28%,10,3.64,5.9832,,,,,,,,,,,,,,,
